id,userId,fullName,version,insuranceName
1,461tl,Radcliffe Sarah,1,company1
1007,461tl,Radcliffe Sarah,2,company1
2,902ii,Cyndie Goodswen,4,company3
1008,902ii,Cyndie Goodswen,2,company3
3,305wb,Gavin Jellybrand,2,company2
1009,305wb,Gavin Jellybrand,3,company2
4,799rd,Lindsay Ivanilov,3,company3
5,461py,Hanni Trew,3,company2
6,802tz,Rubin Buckmaster,1,company3
7,289sh,Eugenio Dowber,2,company2
8,604yb,Dale Karlicek,2,company2
9,295rg,Berny Blaw,4,company2
10,419rz,Fredia Mitkcov,1,company2
11,075ax,Bartholomeus aManger,4,company1
1010,075ax,Bartholomeus aManger,2,company1
12,683fp,Linus MacGorman,3,company1
13,817be,Magdalena Rozanski,4,company3
14,113uh,Wallace Hartmann,2,company2
15,660mj,Kevan Ast,3,company2
16,685ez,Jeremie Leport,1,company2
17,805he,Corinna Armfirld,4,company2
18,260ri,Tony Yven,3,company3
19,585fo,Norry Tayt,2,company1
20,729cw,Abdel Lagadu,4,company1
21,139or,Shelba Pisculli,1,company2
22,347uo,Batsheva MacKettrick,4,company1
23,165tf,Teodorico Shackle,3,company1
24,089dz,Ibbie Gosdin,2,company3
25,849nr,Corney Bettison,1,company1
26,503tc,Kathi Dane,2,company1
27,515ln,Elizabeth Goodfellow,1,company3
28,415fo,Mollie Russell,1,company2
29,068dx,Luce Simenon,3,company1
30,007de,Pearl Haukey,2,company3
31,817ev,Theodosia Mc Curlye,1,company2
32,850oz,Emelen Tort,4,company1
33,238es,Star Deveraux,3,company3
34,127uv,Kaja Conyer,3,company3
35,720sh,Karolina Glaze,3,company2
36,362ml,Meredith Woollhead,2,company3
37,155eu,Kilian Whitelock,4,company1
38,525bd,Ravi Dallender,1,company3
39,852hp,Beitris Welbelove,4,company3
40,537gu,Lyle Michelle,4,company1
41,712kj,Bernadine Webbe,3,company3
42,180vf,Olga Perfitt,2,company3
43,846uu,Meredith Allworthy,4,company2
44,794ny,Bernardine Crosio,2,company2
45,438pn,Aldo Loughton,3,company1
46,543ch,Krisha Wasling,4,company2
47,925nj,Gus Borges,2,company3
48,773ed,Perl Iashvili,2,company1
49,921de,Isaiah Lambrecht,1,company2
50,490gs,Tybi Chaize,1,company3
51,599nj,Jack Danielut,3,company2
52,793pe,Terrell Rupke,3,company3
53,905zl,Joachim Berthouloume,2,company2
54,682pp,Galen Corah,1,company2
55,472ee,Cathy Sisse,2,company2
56,195uk,Sunshine Garland,2,company2
57,164me,Link Thomtson,2,company1
58,869oc,Cristian Campe,4,company1
59,848ag,Gun Garforth,2,company2
60,121ki,Waiter Cello,2,company2
61,024ur,Hugo Phythian,3,company1
62,034ld,Charla McCard,1,company2
63,413rd,Care Paur,4,company3
64,473qs,Zared Burness,4,company3
65,340hi,Brock Heck,2,company1
66,385zk,Trescha Halfhide,1,company2
67,218ky,Alejandro Blevin,1,company3
68,254ug,Erick Bream,3,company2
69,492af,Niven Coleshill,2,company2
70,626pr,Isaak Rudgley,1,company2
71,438vi,Hayward Norris,4,company1
72,680xk,Bell Asbrey,3,company1
73,747xf,Herculie Sagar,4,company3
74,114jg,Waite Danilchik,1,company2
75,844cp,Arnuad D'Alwis,2,company3
76,849wj,Lexy Donnel,2,company2
77,061wa,Josiah Kurten,1,company2
78,587ap,Sullivan Kemble,3,company2
79,179wa,Whit Samuel,4,company3
80,584va,Blinni Dix,3,company1
81,530xl,Kevan Meddings,3,company1
82,624tr,Jaclin Cust,2,company2
83,293hy,Cynthia Russ,1,company2
84,641aa,Dewie Simonian,2,company1
85,783pv,Cully Densun,1,company1
86,872tq,Federico Chrippes,2,company2
87,431ns,Spense Splevings,3,company1
88,705lh,Addy Nano,4,company2
89,390mi,Rosemarie Rennard,3,company2
90,329an,Bentley Kingswood,4,company2
91,193yo,Philomena Mellows,1,company1
92,192we,Rutger Franzoli,2,company2
93,463xq,Base Lynthal,2,company2
94,613jd,Faustina Jenno,4,company3
95,460nd,Julio Garvagh,4,company1
96,063at,Darb Beddingham,4,company1
97,646xf,Windham Tissell,2,company1
98,556fb,Morganne Bubbear,3,company1
99,818ve,Reider Mitchener,4,company2
100,791vp,Delaney Motion,3,company3
101,026ye,Danit Loveridge,2,company2
102,350wy,Paddie Fantonetti,4,company3
103,852ka,Judd Sheere,4,company1
104,993ua,Piotr Pottage,2,company3
105,297gm,Nani McCoole,1,company1
106,166va,Westleigh Pirot,1,company2
107,874cg,Angel Syphus,2,company1
108,771jv,Clarence Atcheson,4,company3
109,377nz,Kayne Chisolm,3,company1
110,358eh,Missy Fenck,3,company2
111,502xq,Norma Leel,1,company1
112,988jp,Perren McTrustey,2,company2
113,330jv,Quinn Krolik,4,company1
114,804vz,Marijo Fincher,2,company2
115,709ap,Maureene Lapides,2,company1
116,909ma,Aluino Ehlerding,2,company2
117,053ds,Abramo Sears,1,company2
118,949of,Moselle MacGahey,3,company2
119,199mu,Quillan Foxten,3,company3
120,091eq,Ulric Nornable,3,company1
121,197wg,Ron Donnel,4,company1
122,903fa,Merline Salvadori,3,company3
123,426ku,Savina Schubbert,4,company1
124,657vf,Ganny Fairebrother,2,company1
125,802is,Minetta Piccard,2,company1
126,841zb,Brockie Duckwith,2,company2
127,648tk,Celisse Stredwick,1,company3
128,338my,Nevins Gerge,1,company3
129,443ue,Felisha Tutchell,3,company1
130,440fs,Zora Zanussii,4,company3
131,716ng,Quinton Collinge,2,company2
132,422id,Shaun Jeffcock,1,company3
133,889wp,Christie Prover,3,company1
134,951ur,Caroljean Prenty,3,company3
135,114vk,Emlynne O'Cahsedy,1,company2
136,800bx,Kristy Tuddall,3,company3
137,302zl,Mady Soans,1,company2
138,633jh,Chandler Spensly,4,company3
139,550sf,Tedda Oager,2,company1
140,659kb,Laure Abrahamsohn,3,company2
141,985wq,Alvinia Rush,2,company1
142,118uz,Margy Brandom,1,company3
143,368rv,Rich Skeen,3,company2
144,397uv,Roxane Benini,3,company3
145,804rc,Horatio Stannett,3,company1
146,470sv,Erin Fretter,2,company1
147,746mj,Hieronymus Flather,2,company1
148,580uy,Jareb Huxton,2,company1
149,464kc,Caprice Simionato,4,company1
150,780yw,Nelle Kirmond,3,company3
151,440xq,Prudy Castella,2,company1
152,261te,Berte Iozefovich,4,company1
153,945lz,Cornall Teffrey,2,company2
154,821de,Letisha Jenicek,2,company1
155,165ti,Dani Hearsum,3,company3
156,029wp,Gracie Beefon,1,company1
157,695ut,Cecelia Brane,4,company3
158,750dp,Karrah Attlee,4,company2
159,568mz,Marissa Tilbury,2,company3
160,312ny,Dorrie Shama,3,company3
161,691hd,Tallou Duxbury,3,company1
162,580zz,Shela Narramor,4,company1
163,705ct,Conney Castillou,2,company3
164,493mn,Ericka Dauber,3,company1
165,702gr,Jonas Sinkin,4,company3
166,944mm,Shandie Butts,4,company1
